"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Editors","Publisher","Document Type","Publication Stage","Open Access","Source","EID"
"Gellert G.A.; Kelly S.P.; Hsiao A.L.; Herrick B.; Weis D.; Lutz J.; Stanton G.; Bonilla S.; Borgasano D.; Erich M.; Reilly C.; Johnston D.","Gellert, George A (57224718686); Kelly, Sean P (57982067900); Hsiao, Allen L (7005219722); Herrick, Brian (57195404072); Weis, Donna (57981247200); Lutz, Jeffrey (57980915800); Stanton, Glynn (57219835235); Bonilla, Santos (57981247300); Borgasano, Daniel (57981247400); Erich, Matthew (57980915900); Reilly, Claire (58362312200); Johnston, Daniel (57198644728)","57224718686; 57982067900; 7005219722; 57195404072; 57981247200; 57980915800; 57219835235; 57981247300; 57981247400; 57980915900; 58362312200; 57198644728","COVID-19 surge readiness: use cases demonstrating how hospitals leveraged digital identity access management for infection control and pandemic response","2022","BMJ Health and Care Informatics","29","1","e100680","","","","2","10.1136/bmjhci-2022-100680","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142664126&doi=10.1136%2fbmjhci-2022-100680&partnerID=40&md5=0b8bda6f0a8e69ee042c8fcc0e64ca0d","Impact Demonstration, Imprivata, San Antonio, TX, United States; Department of Emergency Medicine, Harvard Medical School, Boston, MA, United States; Department of Pediatric Emergency Medicine, Yale School of Medicine and Yale New Haven Health System, New Haven, CT, United States; Department of Health Informatics, Tufts University School of Medicine, Boston, MA, United States; Department of Health Informatics, Nebraska Medicine, Omaha, NE, United States; Department of Health Informatics, New York City Health and Hospitals, New York, NY, United States; Department of Health Informatics, Yale New Haven Health System, New Haven, CT, United States; Department of Clinical Operatons, Imprivata, Lexington, MA, United States; Department of Clinical Operatons, Imprivata Uk, Uxbridge, United Kingdom","Gellert G.A., Impact Demonstration, Imprivata, San Antonio, TX, United States; Kelly S.P., Department of Emergency Medicine, Harvard Medical School, Boston, MA, United States; Hsiao A.L., Department of Pediatric Emergency Medicine, Yale School of Medicine and Yale New Haven Health System, New Haven, CT, United States; Herrick B., Department of Health Informatics, Tufts University School of Medicine, Boston, MA, United States; Weis D., Department of Health Informatics, Nebraska Medicine, Omaha, NE, United States; Lutz J., Department of Health Informatics, New York City Health and Hospitals, New York, NY, United States; Stanton G., Department of Health Informatics, Yale New Haven Health System, New Haven, CT, United States; Bonilla S., Department of Health Informatics, Yale New Haven Health System, New Haven, CT, United States; Borgasano D., Department of Clinical Operatons, Imprivata, Lexington, MA, United States; Erich M., Department of Clinical Operatons, Imprivata, Lexington, MA, United States; Reilly C., Department of Clinical Operatons, Imprivata, Lexington, MA, United States; Johnston D., Department of Clinical Operatons, Imprivata Uk, Uxbridge, United Kingdom","Background Surging volumes of patients with COVID-19 and the high infectiousness of SARS-CoV-2 challenged hospital infection control/safety, staffing, care delivery and operations as few crises have. Imperatives to ensure security of patient information, defend against cybersecurity threats and accurately identify/authenticate patients and staff were undiminished, which fostered creative use cases where hospitals leveraged identity access and management (IAM) technologies to improve infection control and minimise disruption of clinical and administrative workflows. Methods Working with a leading IAM solution provider, implementation personnel in the USA and UK identified all hospitals/health systems where an innovative use of IAM technology improved facility infection control and pandemic response management. Interviews/communications with hospital clinical informatics leaders collected information describing the use case deployed. Results Eight innovative/valuable hospital use cases are described: symptom-free attestation by clinicians at shift start; detection of clinician exposure/contact tracing; reporting of clinician temperature checks; inpatient telehealth consults in isolation units; virtual visits between isolated patients and families; touchless single sign-on authentication; secure access enabled for rapid expansion of personnel working remotely; and monitoring of temporary worker attendance. Discussion No systematic, comprehensive survey of all implemented IAM client sites was conducted, and other use cases may be undetected. A standardised reporting/information sharing vehicle is needed whereby IAM use cases aiding facility pandemic response and infection control can be disseminated. Conclusions Clinical care, infection control and facility operations were improved using IAM solutions during COVID-19. Facility end-user innovation in how IAM solutions are deployed can improve infection control/patient safety, care delivery and clinical workflows during surges of epidemic infectious diseases.  © ","Access to Information; COVID-19; Delivery of Health Care; Infectious Disease Medicine; Informatics","","BMJ Publishing Group","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85142664126"
"Herrero P.; Bondia J.; Adewuyi O.; Pesl P.; El-Sharkawy M.; Reddy M.; Toumazou C.; Oliver N.; Georgiou P.","Herrero, Pau (8693403100); Bondia, Jorge (6602880910); Adewuyi, Oloruntoba (57194413485); Pesl, Peter (54891993500); El-Sharkawy, Mohamed (36445061700); Reddy, Monika (57196350191); Toumazou, Chris (56851269000); Oliver, Nick (8414954000); Georgiou, Pantelis (16301582200)","8693403100; 6602880910; 57194413485; 54891993500; 36445061700; 57196350191; 56851269000; 8414954000; 16301582200","Enhancing automatic closed-loop glucose control in type 1 diabetes with an adaptive meal bolus calculator – in silico evaluation under intra-day variability","2017","Computer Methods and Programs in Biomedicine","146","","","125","131","6","53","10.1016/j.cmpb.2017.05.010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020014775&doi=10.1016%2fj.cmpb.2017.05.010&partnerID=40&md5=c654c4b0b324ed5af576ee0d554f4498","Centre for Bio-Inspired Technology, Institute of Biomedical Engineering, Imperial College London, London, United Kingdom; Institut Universitari d'Automàtica i Informàtica Industrial, Universitat Politècnica de València, València, Spain; Charing Cross Hospital, Imperial College Healthcare NHS Trust, London, United Kingdom","Herrero P., Centre for Bio-Inspired Technology, Institute of Biomedical Engineering, Imperial College London, London, United Kingdom; Bondia J., Institut Universitari d'Automàtica i Informàtica Industrial, Universitat Politècnica de València, València, Spain; Adewuyi O., Centre for Bio-Inspired Technology, Institute of Biomedical Engineering, Imperial College London, London, United Kingdom; Pesl P., Centre for Bio-Inspired Technology, Institute of Biomedical Engineering, Imperial College London, London, United Kingdom; El-Sharkawy M., Centre for Bio-Inspired Technology, Institute of Biomedical Engineering, Imperial College London, London, United Kingdom; Reddy M., Charing Cross Hospital, Imperial College Healthcare NHS Trust, London, United Kingdom; Toumazou C., Centre for Bio-Inspired Technology, Institute of Biomedical Engineering, Imperial College London, London, United Kingdom; Oliver N., Charing Cross Hospital, Imperial College Healthcare NHS Trust, London, United Kingdom; Georgiou P., Centre for Bio-Inspired Technology, Institute of Biomedical Engineering, Imperial College London, London, United Kingdom","Background and Objective Current prototypes of closed-loop systems for glucose control in type 1 diabetes mellitus, also referred to as artificial pancreas systems, require a pre-meal insulin bolus to compensate for delays in subcutaneous insulin absorption in order to avoid initial post-prandial hyperglycemia. Computing such a meal bolus is a challenging task due to the high intra-subject variability of insulin requirements. Most closed-loop systems compute this pre-meal insulin dose by a standard bolus calculation, as is commonly found in insulin pumps. However, the performance of these calculators is limited due to a lack of adaptiveness in front of dynamic changes in insulin requirements. Despite some initial attempts to include adaptation within these calculators, challenges remain. Methods In this paper we present a new technique to automatically adapt the meal-priming bolus within an artificial pancreas. The technique consists of using a novel adaptive bolus calculator based on Case-Based Reasoning and Run-To-Run control, within a closed-loop controller. Coordination between the adaptive bolus calculator and the controller was required to achieve the desired performance. For testing purposes, the clinically validated Imperial College Artificial Pancreas controller was employed. The proposed system was evaluated against itself but without bolus adaptation. The UVa-Padova T1DM v3.2 system was used to carry out a three-month in silico study on 11 adult and 11 adolescent virtual subjects taking into account inter-and intra-subject variability of insulin requirements and uncertainty on carbohydrate intake. Results Overall, the closed-loop controller enhanced by an adaptive bolus calculator improves glycemic control when compared to its non-adaptive counterpart. In particular, the following statistically significant improvements were found (non-adaptive vs. adaptive). Adults: mean glucose 142.2 ± 9.4 vs. 131.8 ± 4.2 mg/dl; percentage time in target [70, 180] mg/dl, 82.0 ± 7.0 vs. 89.5 ± 4.2; percentage time above target 17.7 ± 7.0 vs. 10.2 ± 4.1. Adolescents: mean glucose 158.2 ± 21.4 vs. 140.5 ± 13.0 mg/dl; percentage time in target, 65.9 ± 12.9 vs. 77.5 ± 12.2; percentage time above target, 31.7 ± 13.1 vs. 19.8 ± 10.2. Note that no increase in percentage time in hypoglycemia was observed. Conclusion Using an adaptive meal bolus calculator within a closed-loop control system has the potential to improve glycemic control in type 1 diabetes when compared to its non-adaptive counterpart. © 2017 Elsevier B.V.","Artificial pancreas; Case-based reasoning; Diabetes; Run-to-Run control","","Elsevier Ireland Ltd","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85020014775"
"Paulo S.F.; Medeiros D.; Lopes D.; Jorge J.","Paulo, Soraia F. (57195033731); Medeiros, Daniel (55428540900); Lopes, Daniel (26031571400); Jorge, Joaquim (22333907900)","57195033731; 55428540900; 26031571400; 22333907900","Controlling camera movement in VR colonography","2022","Virtual Reality","26","3","","1079","1088","9","3","10.1007/s10055-021-00620-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122566013&doi=10.1007%2fs10055-021-00620-4&partnerID=40&md5=32b77c51ceb9f94e51a482f2373c4ebf","INESC-ID Lisboa, Instituto Superior Técnico, Universidade de Lisboa, Av. Prof. Dr. Cavaco Silva, Porto Salvo, 2744-016, Portugal; University of Glasgow, Glasgow, United Kingdom","Paulo S.F., INESC-ID Lisboa, Instituto Superior Técnico, Universidade de Lisboa, Av. Prof. Dr. Cavaco Silva, Porto Salvo, 2744-016, Portugal; Medeiros D., University of Glasgow, Glasgow, United Kingdom; Lopes D., INESC-ID Lisboa, Instituto Superior Técnico, Universidade de Lisboa, Av. Prof. Dr. Cavaco Silva, Porto Salvo, 2744-016, Portugal; Jorge J., INESC-ID Lisboa, Instituto Superior Técnico, Universidade de Lisboa, Av. Prof. Dr. Cavaco Silva, Porto Salvo, 2744-016, Portugal","Immersive colonography allows medical professionals to navigate inside the intricate tubular geometries of subject-specific 3D colon images using Virtual Reality displays. Typically, camera travel is performed via Fly-Through or Fly-Over techniques that enable semi-automatic traveling through a constrained, well-defined path at user-controlled speeds. However, Fly-Through is known to limit the visibility of lesions located behind or inside haustral folds. At the same time, Fly-Over requires splitting the entire colon visualization into two specific halves. In this paper, we study the effect of immersive Fly-Through and Fly-Over techniques on lesion detection and introduce a camera travel technique that maintains a fixed camera orientation throughout the entire medial axis path. While these techniques have been studied in non-VR desktop environments, their performance is not well understood in VR setups. We performed a comparative study to ascertain which camera travel technique is more appropriate for constrained path navigation in immersive colonography and validated our conclusions with two radiologists. To this end, we asked 18 participants to navigate inside a 3D colon to find specific marks. Our results suggest that the Fly-Over technique may lead to enhanced lesion detection at the cost of higher task completion times. Nevertheless, the Fly-Through method may offer a more balanced trade-off between speed and effectiveness, whereas the fixed camera orientation technique provided seemingly inferior performance results. Our study further provides design guidelines and informs future work. © 2022, The Author(s), under exclusive licence to Springer-Verlag London Ltd., part of Springer Nature.","Colonography; Human-centered computing; Medical imagery; Navigation; Virtual reality","","Springer Science and Business Media Deutschland GmbH","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85122566013"
"Vaughan N.; Gabrys B.","Vaughan, Neil (55345677800); Gabrys, Bogdan (7006540228)","55345677800; 7006540228","Scoring and assessment in medical VR training simulators with dynamic time series classification","2020","Engineering Applications of Artificial Intelligence","94","","103760","","","","18","10.1016/j.engappai.2020.103760","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086502860&doi=10.1016%2fj.engappai.2020.103760&partnerID=40&md5=d9e9a8050262d8493d63d10da605b544","University of Exeter, Institute of Biomedical and Clinical Science, RILD Building, Barrack Road, Exeter, United Kingdom; University of Technology Sydney, Advanced Analytics Institute, 15 Broadway, Ultimo, NSW 2007, Australia","Vaughan N., University of Exeter, Institute of Biomedical and Clinical Science, RILD Building, Barrack Road, Exeter, United Kingdom; Gabrys B., University of Technology Sydney, Advanced Analytics Institute, 15 Broadway, Ultimo, NSW 2007, Australia","This research proposes and evaluates scoring and assessment methods for Virtual Reality (VR) training simulators. VR simulators capture detailed n-dimensional human motion data which is useful for performance analysis. Custom made medical haptic VR training simulators were developed and used to record data from 271 trainees of multiple clinical experience levels. DTW Multivariate Prototyping (DTW-MP) is proposed. VR data was classified as Novice, Intermediate or Expert. Accuracy of algorithms applied for time-series classification were: dynamic time warping 1-nearest neighbor (DTW-1NN) 60%, nearest centroid SoftDTW classification 77.5%, Deep Learning: ResNet 85%, FCN 75%, CNN 72.5% and MCDCNN 28.5%. Expert VR data recordings can be used for guidance of novices. Assessment feedback can help trainees to improve skills and consistency. Motion analysis can identify different techniques used by individuals. Mistakes can be detected dynamically in real-time, raising alarms to prevent injuries. © 2020 Elsevier Ltd","Classification; Medical training; Simulation; Skill assessment; Time series; Virtual reality","","Elsevier Ltd","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85086502860"
"Halabi O.; Salahuddin T.; Karkar A.G.; Alinier G.","Halabi, Osama (57203219290); Salahuddin, Tooba (57204787863); Karkar, Abdel Ghani (56237720100); Alinier, Guillaume (6506887966)","57203219290; 57204787863; 56237720100; 6506887966","Virtual reality for ambulance simulation environment","2022","Multimedia Tools and Applications","81","22","","32119","32137","18","4","10.1007/s11042-022-12980-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128034611&doi=10.1007%2fs11042-022-12980-3&partnerID=40&md5=41ce7d1761329b7acab8d71d340947d9","Department of Computer Science and Engineering, College of Engineering, Qatar University, Doha, Qatar; KINDI Center for Computing Research, Qatar University, Doha, Qatar; Hamad Medical Corporation Ambulance Service, Doha, Qatar; School of Health and Social Work, University of Hertfordshire, Hatfield, United Kingdom; Weill Cornell Medicine – Qatar, Doha, Qatar; Northumbria University, Newcastle upon Tyne, United Kingdom","Halabi O., Department of Computer Science and Engineering, College of Engineering, Qatar University, Doha, Qatar; Salahuddin T., Department of Computer Science and Engineering, College of Engineering, Qatar University, Doha, Qatar, KINDI Center for Computing Research, Qatar University, Doha, Qatar; Karkar A.G., Department of Computer Science and Engineering, College of Engineering, Qatar University, Doha, Qatar; Alinier G., Hamad Medical Corporation Ambulance Service, Doha, Qatar, School of Health and Social Work, University of Hertfordshire, Hatfield, United Kingdom, Weill Cornell Medicine – Qatar, Doha, Qatar, Northumbria University, Newcastle upon Tyne, United Kingdom","Simulations are beneficial in evaluating clinicians’ empirical competencies through practical skills, prioritizing, and decision-making as part of patient care scenarios generally run in a full-scale physical context. However, such simulations require physical space, manufacturing, and replacement of damaged or used equipment. On the other hand, virtual reality (VR) computerized simulators are comparatively modern instruments for use in practical training. VR can be employed to simulate real-world situations without the actual need for physical devices. This work presents an ambulance patient compartment VR simulation that can be used by emergency medical services (EMS) staff to customize the configuration of the ambulance patient compartment according to their preference as well as for vehicle orientation or training purposes. The proposed simulation can be used repeatedly enabling the paramedics to access equipment in a fully immersive and safe environment. The user studies have demonstrated the usability and perceived effectiveness of the proposed simulation. © 2022, The Author(s).","Ambulance design; Ambulance patient compartment; Equipment positioning; Virtual reality simulation","","Springer","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85128034611"
"Li K.; Liu C.; Zhu T.; Herrero P.; Georgiou P.","Li, Kezhi (55488020900); Liu, Chengyuan (57188640927); Zhu, Taiyu (57203244209); Herrero, Pau (8693403100); Georgiou, Pantelis (16301582200)","55488020900; 57188640927; 57203244209; 8693403100; 16301582200","GluNet: A Deep Learning Framework for Accurate Glucose Forecasting","2020","IEEE Journal of Biomedical and Health Informatics","24","2","8779644","414","423","9","101","10.1109/JBHI.2019.2931842","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079097427&doi=10.1109%2fJBHI.2019.2931842&partnerID=40&md5=0e6cdfc00ed9bdb04e7b266d1aae5a70","Department of Electronic and Electrical Engineering, Imperial College London, London, SW7 2AZ, United Kingdom","Li K., Department of Electronic and Electrical Engineering, Imperial College London, London, SW7 2AZ, United Kingdom; Liu C., Department of Electronic and Electrical Engineering, Imperial College London, London, SW7 2AZ, United Kingdom; Zhu T., Department of Electronic and Electrical Engineering, Imperial College London, London, SW7 2AZ, United Kingdom; Herrero P., Department of Electronic and Electrical Engineering, Imperial College London, London, SW7 2AZ, United Kingdom; Georgiou P., Department of Electronic and Electrical Engineering, Imperial College London, London, SW7 2AZ, United Kingdom","For people with Type 1 diabetes (T1D), forecasting of blood glucose (BG) can be used to effectively avoid hyperglycemia, hypoglycemia and associated complications. The latest continuous glucose monitoring (CGM) technology allows people to observe glucose in real-time. However, an accurate glucose forecast remains a challenge. In this work, we introduce GluNet, a framework that leverages on a personalized deep neural network to predict the probabilistic distribution of short-term (30-60 minutes) future CGM measurements for subjects with T1D based on their historical data including glucose measurements, meal information, insulin doses, and other factors. It adopts the latest deep learning techniques consisting of four components: data pre-processing, label transform/recover, multi-layers of dilated convolution neural network (CNN), and post-processing. The method is evaluated in-silico for both adult and adolescent subjects. The results show significant improvements over existing methods in the literature through a comprehensive comparison in terms of root mean square error (RMSE) (8.88 ± 0.77 mg/dL) with short time lag (0.83 ± 0.40 minutes) for prediction horizons (PH) = 30 mins (minutes), and RMSE (19.90 ± 3.17 mg/dL) with time lag (16.43 ± 4.07 mins) for PH = 60 mins for virtual adult subjects. In addition, GluNet is also tested on two clinical data sets. Results show that it achieves an RMSE (19.28 ± 2.76 mg/dL) with time lag (8.03 ± 4.07 mins) for PH = 30 mins and an RMSE (31.83 ± 3.49 mg/dL) with time lag (17.78 ± 8.00 mins) for PH = 60 mins. These are the best reported results for glucose forecasting when compared with other methods including the neural network for predicting glucose (NNPG), the support vector regression (SVR), the latent variable with exogenous input (LVX), and the auto regression with exogenous input (ARX) algorithm. © 2013 IEEE.","continuous glucose monitoring (CGM); Deep learning; diabetes; dilated convolutions; glucose forecasting","","Institute of Electrical and Electronics Engineers Inc.","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85079097427"
"Urquhart L.; Petrakis K.; Hansen J.P.; Wodehouse A.; Mariani M.E.; Lauer-Schmaltz M.W.; Loudon B.","Urquhart, Lewis (57195756146); Petrakis, Konstantinos (57215678908); Hansen, John Paulin (55465667700); Wodehouse, Andrew (15073537700); Mariani, Milton Edgardo (57310342800); Lauer-Schmaltz, Martin Wolfgang (57728909400); Loudon, Brian (57218297835)","57195756146; 57215678908; 55465667700; 15073537700; 57310342800; 57728909400; 57218297835","Prototyping Approaches for Rehabilitation Devices: From Product Embodiment to Data Management","2023","Computer-Aided Design and Applications","20","S6","","145","157","12","2","10.14733/cadaps.2023.S6.145-157","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143518153&doi=10.14733%2fcadaps.2023.S6.145-157&partnerID=40&md5=b1cb76e5b86495795ed1f7dd1f9acc30","University of Strathclyde, Glasgow, United Kingdom; Technical University of Denmark, Copenhagen, Denmark; Loud1Design, Glasgow, United Kingdom","Urquhart L., University of Strathclyde, Glasgow, United Kingdom; Petrakis K., University of Strathclyde, Glasgow, United Kingdom; Hansen J.P., Technical University of Denmark, Copenhagen, Denmark; Wodehouse A., University of Strathclyde, Glasgow, United Kingdom; Mariani M.E., Technical University of Denmark, Copenhagen, Denmark; Lauer-Schmaltz M.W., Technical University of Denmark, Copenhagen, Denmark; Loudon B., Loud1Design, Glasgow, United Kingdom","This paper will present two research cases, both of which have similar objectives within upper-limb rehabilitation, which have utilized prototyping as a broad tool to explore the design solution space. Prototyping is a fundamental component of a large array of design work, with a multitude of techniques now available to designers of product embodiments and functions. PRIME-VR2 and ReHyb are two large European research projects focusing on efforts to reinvent medical rehabilitation through engagement with new technological advances to develop unique biomedical devices. PRIME-VR2 is focused on the development of a bespoke virtual reality gaming controller that can recreate therapeutic motions, while ReHyb aims to create rehabilitation aiding assistive exoskeletons. Prototyping has been a critical tool in the development of the design solutions, notably PRIME-VR2 has explored a range of novel additive manufacturing strategies such as a complex phased printing procedure and the ReHyb project has made innovative use of Lego Technic components in prototypes developed for human-robot interactions. Starting by examining the principles of prototyping within a bespoke device context, the two case studies are subsequently presented. Both are explored from the point of view of key prototyping practices and the data management and design generation tools. Lastly, the two projects are compared considering the strengths and weaknesses of both design approaches with a discussion focusing on the implications for future design projects that may have similar objectives in rehabilitative medicine. © 2023 CAD Solutions, LLC.","Bespoke devices; case studies; data management; rehabilitation","","CAD Solutions, LLC","Article","Final","All Open Access; Bronze Open Access; Green Open Access","Scopus","2-s2.0-85143518153"
"Tadeja S.K.; Bohné T.; Godula K.; Cybulski A.; Woźniak M.M.","Tadeja, Sławomir Konrad (57209310553); Bohné, Thomas (6507819384); Godula, Kacper (58261330500); Cybulski, Artur (57216932715); Woźniak, Magdalena Maria (36560844100)","57209310553; 6507819384; 58261330500; 57216932715; 36560844100","Immersive presentations of real-world medical equipment through interactive VR environment populated with the high-fidelity 3D model of mobile MRI unit","2024","Computers and Graphics (Pergamon)","120","","103919","","","","0","10.1016/j.cag.2024.103919","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190337570&doi=10.1016%2fj.cag.2024.103919&partnerID=40&md5=e7f675b6d6b19ba37b0e69d376112ebf","University of Cambridge, Cambridge, CB3 0FS, United Kingdom; Immersive sp. z o.o., Warsaw, 00-013, Poland; Medical University of Lublin, Lublin, 20-059, Poland; Eurodiagnostic Sp. z o.o., Warsaw, 02-530, Poland","Tadeja S.K., University of Cambridge, Cambridge, CB3 0FS, United Kingdom, Immersive sp. z o.o., Warsaw, 00-013, Poland, Eurodiagnostic Sp. z o.o., Warsaw, 02-530, Poland; Bohné T., University of Cambridge, Cambridge, CB3 0FS, United Kingdom; Godula K., Immersive sp. z o.o., Warsaw, 00-013, Poland; Cybulski A., Immersive sp. z o.o., Warsaw, 00-013, Poland; Woźniak M.M., Medical University of Lublin, Lublin, 20-059, Poland, Eurodiagnostic Sp. z o.o., Warsaw, 02-530, Poland","The primary goal behind the system presented in this paper is to investigate the efficacy of using virtual reality (VR) for showcasing sizable medical equipment. Specifically, we focused on a mobile magnetic resonance imaging (MRI) scanner mounted on a truck trailer. The latter is integral to the mobile MRI setup and must be presented as part of the immersive experience. Therefore, we not only have to depict the medical apparatus but also provide the means of understanding its surroundings. This is especially important to radiologists and other medical personnel to ascertain if a given mobile medical facility fulfills their needs and wants. Furthermore, despite such MRI devices being designed for mobility, their long-distance transportation can be time-consuming, troublesome and expensive. Therefore, we can observe the need for showcasing such mobile MRI units without additional cost and burden related to transportation. To achieve this, we designed an immersive environment in which the users can interact with the real-life scale 3D model of a mobile MRI. In addition, we also verified the usability and expressiveness of our system using established heuristical approaches. © 2024 The Author(s)","Immersive interface; Magnetic resonance imaging; MRI; Virtual presentation; Virtual reality; VR","","Elsevier Ltd","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85190337570"
"Dong B.; Li J.; Yang G.; Cheng X.; Gang Q.","Dong, Bin (57207453350); Li, Jianqun (57215539956); Yang, Guojie (23390965600); Cheng, Xiaochun (8703158600); Gang, Qinguo (57204846432)","57207453350; 57215539956; 23390965600; 8703158600; 57204846432","A Multi-Component Conical Spring Model of Soft Tissue in Virtual Surgery","2020","IEEE Access","8","","9160939","146093","146104","11","7","10.1109/ACCESS.2020.3014730","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090291889&doi=10.1109%2fACCESS.2020.3014730&partnerID=40&md5=6ff10debb3213621680d9555b85e41f0","Affiliated Hospital of Hebei University, Hebei University, Baoding, China; Key Laboratory of Digital Medical Engineering of Hebei Province, College of Electronic and Information Engineering, Hebei University, Baoding, China; Faculty of Science and Technology, Middlesex University, London, United Kingdom; College of Civil Engineering and Architecture, Hebei University, Baoding, China","Dong B., Affiliated Hospital of Hebei University, Hebei University, Baoding, China, Key Laboratory of Digital Medical Engineering of Hebei Province, College of Electronic and Information Engineering, Hebei University, Baoding, China, Faculty of Science and Technology, Middlesex University, London, United Kingdom; Li J., Key Laboratory of Digital Medical Engineering of Hebei Province, College of Electronic and Information Engineering, Hebei University, Baoding, China; Yang G., Affiliated Hospital of Hebei University, Hebei University, Baoding, China; Cheng X., Faculty of Science and Technology, Middlesex University, London, United Kingdom; Gang Q., College of Civil Engineering and Architecture, Hebei University, Baoding, China","With the rapid development of optical system and medical robotic technology, the virtual surgery approach has achieved good progress but also faces many challenges. Physical and mechanical models of soft tissue characteristics have been a hot research topic in this field. In the present investigation, a physical model with a new multi-component conical spring is proposed, which replaces the cylindrical spring of the traditional mass-spring model. In the new model, a multi-component spring structure has been incorporated that consists of a conical spring and a linear spring in series. Based on the analysis of the nonlinear characteristics of soft tissue, the mechanical model was established to correspond better with the physical behavior. To determine the parameters for the mechanical model, the Euler method was deployed. The determination of the model parameters was achieved using physical tests. Result simulation experiments confirmed that the behavior of the new multi-component conical spring model proposed in the present paper gives results that are closer to those obtained from real-world physical tests than were data given by either the mass-conical-spring model or the mass-spring-model. Average difference, maximum difference and mean square error values were used for the evaluation. The accuracy of simulations for soft tissue virtual surgery can be improved by application of the new model developed in the present study.  © 2013 IEEE.","computer vision; conical spring; mechanical model; medical robotics; multi-component conical spring model; soft tissue modeling; Virtual reality","","Institute of Electrical and Electronics Engineers Inc.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85090291889"
"Vallefuoco E.; Bravaccio C.; Gison G.; Pecchia L.; Pepino A.","Vallefuoco, Ersilia (57194871725); Bravaccio, Carmela (6603209429); Gison, Giovanna (55803626000); Pecchia, Leandro (35746897300); Pepino, Alessandro (8763738900)","57194871725; 6603209429; 55803626000; 35746897300; 8763738900","Personalized Training via Serious Game to Improve Daily Living Skills in Pediatric Patients With Autism Spectrum Disorder","2022","IEEE Journal of Biomedical and Health Informatics","26","7","","3312","3322","10","13","10.1109/JBHI.2022.3155367","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125734282&doi=10.1109%2fJBHI.2022.3155367&partnerID=40&md5=2ab1d90ea4725f963b57e6e6aecc8536","University of Naples Federico II, SInAPSi Centre, Naples, 80126, Italy; University of Naples Federico II, Department of Translational Medical Sciences, Naples, 80131, Italy; University of Campania Luigi Vanvitelli, Department of Mental Physical Health and Preventive Medicine, Naples, 80138, Italy; University of Warwick, School of Engineering, Coventry, CV47AL, United Kingdom; University of Naples Federico II, Department of Electrical Engineering and Information Technology, Naples, 80125, Italy","Vallefuoco E., University of Naples Federico II, SInAPSi Centre, Naples, 80126, Italy; Bravaccio C., University of Naples Federico II, Department of Translational Medical Sciences, Naples, 80131, Italy; Gison G., University of Campania Luigi Vanvitelli, Department of Mental Physical Health and Preventive Medicine, Naples, 80138, Italy; Pecchia L., University of Warwick, School of Engineering, Coventry, CV47AL, United Kingdom; Pepino A., University of Naples Federico II, Department of Electrical Engineering and Information Technology, Naples, 80125, Italy","The majority of people with Autism Spectrum Disorder (ASD) exhibit difficulties in social communication and behavior, which hinder their learning capability, amid others. Among technological solutions for people with ASD, serious games are frequently used to enhance learning of specific skills and instructional contents. However, because of heterogeneity in applications and game design, few studies have investigated their use in training daily activities. This paper presents a 3D personalized serious game we developed and validated to help ASD patients practice with shopping activities. Personalized training is paramount in people with ASD, thus several elements of this game were personalized to improve engagement and therefore the effectiveness of the virtual training. In order to assess the validity of the game, ten subjects (age 11.9, 2.7', 20% female) with ASD played ten sessions of the serious game, once per week. The participants underwent a real-life experience pre- and post-training in a real-life supermarket. Changes in daily living skills among participants were evaluated through specific tools: a form based on the International Classification of Functioning, Disability and Health for Children and Youth; and the Vineland Adaptive Behavior Scale II. Significant improvements (p < 0.05) were detected in the main skills trained with the serious game, especially in learning the shopping procedure, directing attention, and problem-solving skills. These findings suggest that personalized serious games can represent a prominent tool to enhance daily living skills, but future work should clinically validate their efficacy. © 2013 IEEE.","Autism spectrum disorder; daily living skills; human-computer interactions; Serious games","","Institute of Electrical and Electronics Engineers Inc.","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85125734282"
